HOT cruises
 Cru No   Tsn   Tcorr No      Tcorr   Slag
  318    1416        1      0.002391         0.0
  318    5519        1      0.000290        -1.0
  319    1416        1      0.002252         0.0
  319    2454        1      0.000167        -1.0
  320    1416        1      0.001330         0.0
  320    2454        1     -0.000505        -1.0
  321    1416        1      0.001196         0.0
  321    2454        1     -0.000603        -2.0
  322    1416        1      0.001050         0.0
  322    2454        1     -0.000709        -2.0
  323    1416        1      0.000916         0.0
  323    2454        1     -0.000806        -2.0
  324    1416        1      0.000620         0.0
  324    2454        1     -0.001022        -2.0
  325    1416        1      0.000453         0.0
  325    2454        1     -0.001144        -1.0
  326    1416        1      0.000367         0.0
  326    4448        1      0.000094        -2.0
  327    1416        1      0.000138         0.0
  327    4448        1      0.000059        -2.0
  328    1416        1     -0.000092         0.0
  328    4448        1      0.000024        -2.0
  328    2454        1     -0.000057         0.0
  328    2907        1      0.000020         0.0
  329    2454        1     -0.000143         0.0
  329    2907        1      0.000018         1.0
  330    2454        1     -0.000277         0.0
  330    5519        1      0.000141         1.0
  331    2454        1     -0.000423         0.0
  331    1416        1     -0.000681         0.0
  331    1489        1     -0.000172        -1.0
  331    5554       1      0.00000        -1.0
  332    1489      1     -0.000206        -2.0
  332  5554      1      0.00000         -2.0
  333    1489      1     -0.000342        -1.0
  333  5554      1      0.00000         -2.0
  334    1489      1     -0.000391        -1.0
  334  5554      1      0.00000         -2.0
  335    5519      1      0.00000          0.0
  335    4448        1      0.00000         -1.0
  336    5519       1      0.00000          0.0
  336    4448        1      0.00000         -1.0
